Section,Min Seats,Max Seats,Wizards,Theater resale,Deftones,Wizards 2,Capitals
Section 100,298.8,365.2,487.0,432.0,250.0,120.0,612.0
Section 101,298.8,365.2,422.0,432.0,220.0,91.0,612.0
Section 102,298.8,365.2,363.0,305.0,200.0,50.0,695.0
Section 103,298.8,365.2,334.0,305.0,235.0,30.0,545.0
Section 104,298.8,365.2,280.0,299.0,175.0,30.0,565.0
Section 105,298.8,365.2,315.0,316.0,,31.0,560.0
Section 106,298.8,365.2,267.0,323.0,277.0,31.0,445.0
Section 107,298.8,365.2,331.0,305.0,190.0,30.0,526.0
Section 108,298.8,365.2,350.0,305.0,200.0,42.0,540.0
Section 109,298.8,365.2,360.0,305.0,263.0,48.0,524.0
Section 110,298.8,365.2,397.0,432.0,269.0,82.0,612.0
Section 111,298.8,365.2,434.0,432.0,240.0,109.0,612.0
Section 112,298.8,365.2,363.0,578.0,290.0,91.0,612.0
Section 113,298.8,365.2,349.0,,240.0,45.0,476.0
Section 114,298.8,365.2,322.0,,203.0,42.0,405.0
Section 115,298.8,365.2,296.0,,,30.0,405.0
Section 116,298.8,365.2,262.0,,,34.0,405.0
Section 117,298.8,365.2,264.0,,,30.0,405.0
Section 118,298.8,365.2,263.0,,,29.0,405.0
Section 119,298.8,365.2,343.0,,150.0,51.0,465.0
Section 120,298.8,365.2,340.0,,210.0,49.0,476.0
Section 121,298.8,365.2,404.0,571.0,300.0,91.0,612.0
Section 200,124.5,159.36,,432.0,269.0,86.0,
Section 201,124.5,159.36,352.0,305.0,246.0,52.0,
Section 202,124.5,159.36,387.0,229.0,,45.0,484.0
Section 203,124.5,159.36,313.0,233.0,179.0,32.0,
Section 204,124.5,159.36,,225.0,,30.0,
Section 205,124.5,159.36,,299.0,,61.0,
Section 206,124.5,159.36,,324.0,,27.0,
Section 207,124.5,159.36,,426.0,,30.0,
Section 208,124.5,159.36,270.0,278.0,,,
Section 209,124.5,159.36,,258.0,,27.0,
Section 210,124.5,159.36,294.0,235.0,175.0,29.0,
Section 211,124.5,159.36,366.0,251.0,190.0,31.0,388.0
Section 212,124.5,159.36,299.0,269.0,475.0,32.0,388.0
Section 213,124.5,159.36,398.0,272.0,,44.0,388.0
Section 214,124.5,159.36,434.0,305.0,,52.0,405.0
Section 215,124.5,159.36,,432.0,234.0,73.0,405.0
Section 216,124.5,159.36,355.0,305.0,200.0,52.0,405.0
Section 217,124.5,159.36,365.0,305.0,200.0,42.0,505.0
Section 218,124.5,159.36,329.0,,,32.0,370.0
