spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,normalized_rank,popularity_index,cluster,tsne1,tsne2,tsne_distance,is_outlier
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,18,1,1,US,2025-01-31,88,True,157992,GNX,2024-11-22,0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,4,Kendrick Lamar,0.66,0.3372013286845081,1,24.744762,-30.685669,30.725239,True
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,32,-2,7,US,2025-01-31,87,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Kendrick Lamar,0.38,0.5900475602017301,1,4.731778,23.250273,30.380402,True
7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",35,-4,-9,US,2025-01-31,92,True,235336,DeBÍ TiRAR MáS FOToS,2025-01-05,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3,Bad Bunny,0.32,0.2913496042216359,0,-7.3326993,24.190155,30.744835,True
3yDi4w5cuQQEpQXrozMW2B,Blue Jean Baby,Zach Bryan,24,6,26,US,2025-01-29,68,False,132068,Blue Jean Baby,2025-01-27,0.435,0.675,0,-6.697,1,0.119,0.194,0.0,0.126,0.477,78.432,4,Zach Bryan,0.54,0.1037730870712401,1,-20.335318,16.521748,34.672455,True
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",47,-4,-15,US,2025-01-29,91,True,191018,Cosa Nuestra,2024-11-15,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4,Rauw Alejandro,0.08,0.2795146938404148,0,-13.679449,25.165274,37.128258,True
4pu58kqegTnOxPNJpY3kr9,Funny Papers,Mac Miller,47,-22,3,US,2025-01-19,67,True,263941,Balloonerism,2025-01-17,0.471,0.645,0,-7.387,0,0.242,0.761,0.0035,0.111,0.224,169.24,4,Mac Miller,0.08,0.161608179419525,2,-0.51981187,35.703423,51.115505,True
1JtAIBbCgomz38qPBSJzCn,DJ's Chord Organ (feat. SZA),"Mac Miller, SZA",15,35,35,US,2025-01-18,43,True,315640,Balloonerism,2025-01-17,0.373,0.557,9,-7.435,1,0.0977,0.55,0.375,0.263,0.16,145.689,4,Mac Miller,0.72,0.13032981530343,2,-63.53887,-0.15948483,30.092546,True
1lw3asU5xp73sdBy0rYsuK,Friendly Hallucinations,Mac Miller,45,5,5,US,2025-01-18,39,True,285805,Balloonerism,2025-01-17,0.582,0.512,0,-7.886,1,0.226,0.174,0.0,0.0947,0.397,81.509,4,Mac Miller,0.12,0.117221635883905,1,-17.909964,22.50087,37.465244,True
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,45,0,-19,US,2025-01-05,88,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,Benson Boone,0.12,0.5579345235520567,1,-27.988491,17.654106,41.27558,True
2BsDkWthyNrYbpY3iOnrR0,Stuff (feat. Travis Scott),"Lil Baby, Travis Scott",46,-5,4,US,2025-01-05,65,True,180666,WHAM,2025-01-03,0.835,0.671,8,-5.614,0,0.198,0.00561,2.07e-06,0.152,0.766,120.018,4,Lil Baby,0.1,0.0980540897097625,1,24.535078,-31.671072,31.356163,True
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,49,-1,1,US,2025-01-05,84,False,194920,Pink Skies,2024-05-24,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,4,Zach Bryan,0.04,0.4520227554337527,1,-26.158499,17.782637,39.907433,True
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,Gunna,50,-6,0,US,2025-01-04,84,True,90760,One of Wun,2024-05-10,0.887,0.727,4,-4.318,0,0.135,0.381,1.16e-06,0.213,0.932,130.035,4,Gunna,0.02,0.2514435116334852,1,21.84161,-36.1618,33.55478,True
6jTQijAuYxOd8DjQ8D6UkL,What Do I Do,SZA,50,0,0,US,2025-01-01,79,True,167448,SOS Deluxe: LANA,2024-12-20,0.68,0.543,8,-8.308,1,0.0505,0.536,0.000929,0.164,0.66,146.037,4,SZA,0.02,0.2260343007915567,1,-22.033699,-19.999706,29.958296,True
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,41,-40,-40,US,2024-12-28,97,False,126266,Merry Christmas From Brenda Lee,1964-10-19,0.598,0.47,8,-8.744,1,0.0496,0.617,0.0,0.505,0.879,67.086,4,Brenda Lee,0.2,0.3140585907186093,2,-4.9234376,-24.09505,35.452084,True
47ohYW8e7dxCYn9qbUMBCI,Christmas (Baby Please Come Home),Darlene Love,44,-30,-16,US,2024-12-27,87,False,166453,"Christmas (Baby, Please Come Home)",2020-12-04,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,4,Darlene Love,0.14,0.263086932370504,1,-35.22402,13.595039,45.265465,True
54K9GOVJqIaDZNXLnnxiKc,Mistletoe,Justin Bieber,26,24,24,US,2024-12-26,68,False,182946,Under The Mistletoe,2011-01-01,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,Justin Bieber,0.5,0.2004749340369393,1,-20.474113,-21.749092,29.387806,True
6pheMGrfMwwnypqafU7d4k,Run Rudolph Run - Spotify Singles Holiday,Mark Ambor,35,1,15,US,2024-12-26,87,False,155846,Run Rudolph Run - Spotify Singles Holiday,2024-10-15,0.707,0.735,11,-6.748,1,0.0344,0.0982,8.35e-05,0.124,0.962,140.051,4,Mark Ambor,0.32,0.2573383905013192,1,12.49125,-37.434296,31.213171,True
27RYrbL6S02LNVhDWVl38b,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",38,1,12,US,2024-12-26,90,False,214333,Signature Box,2010-10-05,0.321,0.64,2,-10.023,1,0.0324,0.28,0.0,0.718,0.414,146.172,3,John Lennon,0.26,0.2669973614775726,2,36.451614,1.715249,70.23437,True
4NVCbTM616gB2f1H8AJ8bZ,Mistletoe,Justin Bieber,20,30,30,US,2024-12-25,58,False,182946,Under The Mistletoe (Deluxe Edition),2011-01-01,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,Justin Bieber,0.62,0.1707559366754617,1,-20.474113,-21.749092,29.387806,True
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,42,-7,-2,US,2024-12-22,87,False,182946,Under The Mistletoe (Deluxe Edition),2011-01-01,0.658,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,Justin Bieber,0.18,0.2628301451187335,1,-20.474113,-21.749092,29.387806,True
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",32,18,18,US,2024-12-06,86,True,131240,GNX,2024-11-22,0.796,0.536,6,-7.93,1,0.109,0.0552,0.0,0.112,0.662,83.492,4,Kendrick Lamar,0.38,0.2492539577836411,1,27.10426,-27.435366,30.002075,True
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",46,4,4,US,2024-12-06,85,True,155917,GNX,2024-11-22,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4,Kendrick Lamar,0.1,0.2462282321899736,1,4.9524975,25.886374,33.015213,True
4kGlAkGC58crFvxfegBhNs,squabble up,Kendrick Lamar,1,49,49,US,2024-11-24,34,False,157992,GNX,2024-11-21,0.878,0.683,0,-5.562,1,0.192,0.0275,0.0,0.0793,0.721,103.951,4,Kendrick Lamar,1.0,0.1038469656992084,1,24.400839,-30.625538,30.459166,True
6CG7UePo6mydQbNr4tlkp8,hey now (feat. dody6),"Kendrick Lamar, Dody6",5,45,45,US,2024-11-24,30,False,217478,GNX,2024-11-21,0.813,0.348,10,-8.835,1,0.094,0.00319,0.0028,0.4,0.187,101.991,4,Kendrick Lamar,0.92,0.0916992084432717,1,7.1205235,29.185528,36.37507,True
442ifpYGFKfyz8PohOQEVd,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)","Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",10,40,40,US,2024-11-24,28,False,131240,GNX,2024-11-21,0.802,0.536,1,-8.015,1,0.123,0.0529,4.24e-06,0.13,0.677,83.504,4,Kendrick Lamar,0.82,0.0855145118733509,1,27.344105,-27.374914,30.138426,True
