artist,avg_popularity,unique_tracks,penalty,adjusted_popularity,normalized_popularity,lineup_tier
Sabrina Carpenter,0.329951483,17,0.459459459,0.15159933,1,Headliner
Taylor Swift,0.215096437,43,0.682539683,0.146811854,0.968417053,Headliner
Bad Bunny,0.262503616,24,0.545454545,0.14318379,0.944482745,Headliner
Billie Eilish,0.318379111,15,0.428571429,0.13644819,0.900048039,Headliner
Kendrick Lamar,0.224953519,30,0.6,0.134972112,0.890310358,Headliner
The Creator,0.28642049,17,0.459459459,0.131598603,0.868055349,Headliner
Tyler,0.28642049,17,0.459459459,0.131598603,0.868055349,Headliner
SZA,0.24684863,20,0.5,0.123424315,0.814129626,Headliner
Morgan Wallen,0.327474632,12,0.375,0.122802987,0.810030732,Headliner
Kanye West,0.186086696,33,0.622641509,0.115865302,0.76426287,Headliner
Post Malone,0.220809612,22,0.523809524,0.115662178,0.762922864,Headliner
Ariana Grande,0.207754891,24,0.545454545,0.11332085,0.747477139,Headliner
Zach Bryan,0.213072731,21,0.512195122,0.109134813,0.719861888,Headliner
Ty Dolla $ign,0.179444827,31,0.607843137,0.109074307,0.719462727,Headliner
Chappell Roan,0.352567799,8,0.285714286,0.100733657,0.664439519,Headliner
J. Cole,0.21588373,16,0.444444444,0.095948324,0.632870715,Headliner
Beyoncé,0.169360574,26,0.565217391,0.095725542,0.63140102,Headliner
Future,0.14678818,37,0.649122807,0.095283555,0.628485238,Headliner
Eminem,0.17554685,20,0.5,0.087773425,0.578940961,Headliner
Metro Boomin,0.140267352,31,0.607843137,0.085260547,0.562363527,Headliner
21 Savage,0.18554165,17,0.459459459,0.085248866,0.562286468,Headliner
Travis Scott,0.245134042,10,0.333333333,0.081711347,0.538949479,Headliner
Playboi Carti,0.314239416,7,0.259259259,0.081469478,0.537353871,Headliner
The Weeknd,0.27985002,8,0.285714286,0.079957148,0.527377042,Headliner
Luke Combs,0.231129441,10,0.333333333,0.077043147,0.508153396,Headliner
Drake,0.267847869,8,0.285714286,0.076527963,0.504754727,Headliner
Charli xcx,0.21814721,10,0.333333333,0.072715737,0.4796055,Headliner
Lil Uzi Vert,0.202154473,11,0.35483871,0.071732233,0.473117331,Headliner
Benson Boone,0.348968205,5,0.2,0.069793641,0.460328456,Headliner
Hozier,0.231207425,8,0.285714286,0.066059264,0.4356928,Headliner
Bruno Mars,0.319254861,5,0.2,0.063850972,0.421124714,Headliner
Peso Pluma,0.205577593,9,0.310344828,0.063799943,0.420788073,Headliner
Sexyy Red,0.272445179,6,0.230769231,0.062871964,0.414666206,Headliner
Tate McRae,0.288100063,5,0.2,0.057620013,0.380019118,Headliner
Gracie Abrams,0.285312867,5,0.2,0.057062573,0.376341695,Headliner
Tommy Richman,0.337289915,4,0.166666667,0.056214986,0.370750167,Headliner
¥$,0.129874719,15,0.428571429,0.055660594,0.367092847,Headliner
Olivia Rodrigo,0.211610879,7,0.259259259,0.05486208,0.361825055,Headliner
GloRilla,0.264916829,5,0.2,0.052983366,0.349431192,Headliner
Shaboozey,0.317418905,4,0.166666667,0.052903151,0.348902015,Headliner
Noah Kahan,0.311970179,4,0.166666667,0.05199503,0.342911147,Headliner
USHER,0.252693008,5,0.2,0.050538602,0.3333031,Headliner
Toby Keith,0.216494899,6,0.230769231,0.049960361,0.329488453,Headliner
Fuerza Regida,0.289304219,4,0.166666667,0.04821737,0.317989951,Headliner
Don Toliver,0.239177386,5,0.2,0.047835477,0.315470608,Headliner
Jimin,0.352196749,3,0.130434783,0.045938706,0.302957625,Headliner
Xavi,0.342973631,3,0.130434783,0.044735691,0.295021341,Headliner
Miley Cyrus,0.221784395,5,0.2,0.044356879,0.292522321,Headliner
Lady Gaga,0.337432933,3,0.130434783,0.044012991,0.290253696,Headliner
Bing Crosby,0.257285365,4,0.166666667,0.042880894,0.282785259,Headliner
Kacey Musgraves,0.313786898,3,0.130434783,0.040928726,0.269906819,Headliner
Megan Thee Stallion,0.241914813,4,0.166666667,0.040319135,0.265885356,Co-Headliner
Doja Cat,0.2920322,3,0.130434783,0.038091157,0.251187395,Co-Headliner
Gunna,0.283271149,3,0.130434783,0.036948411,0.243648709,Co-Headliner
ROSÉ,0.278379573,3,0.130434783,0.036310379,0.239439619,Co-Headliner
Neton Vega,0.272651332,3,0.130434783,0.035563217,0.234510597,Co-Headliner
Kali Uchis,0.386567196,2,0.090909091,0.035142472,0.231734947,Co-Headliner
Kelly Clarkson,0.263041073,3,0.130434783,0.034309705,0.226241187,Co-Headliner
Central Cee,0.258705929,3,0.130434783,0.033744252,0.222510894,Co-Headliner
KAROL G,0.258583895,3,0.130434783,0.033728334,0.222405887,Co-Headliner
Nat King Cole,0.255152672,3,0.130434783,0.033280783,0.219453398,Co-Headliner
Gigi Perez,0.362525031,2,0.090909091,0.032956821,0.21731622,Co-Headliner
Frank Sinatra,0.251067026,3,0.130434783,0.032747873,0.215937792,Co-Headliner
Mac Miller,0.126064267,7,0.259259259,0.032683328,0.215511992,Co-Headliner
Jelly Roll,0.195619063,4,0.166666667,0.032603177,0.214983235,Co-Headliner
Yeat,0.137692853,6,0.230769231,0.031775274,0.209521562,Co-Headliner
Blake Shelton,0.242067094,3,0.130434783,0.031573969,0.208193554,Co-Headliner
Dua Lipa,0.231280893,3,0.130434783,0.030167073,0.198912273,Co-Headliner
Nicki Minaj,0.231214172,3,0.130434783,0.03015837,0.198854861,Co-Headliner
José Feliciano,0.230836631,3,0.130434783,0.030109126,0.198529996,Co-Headliner
Teddy Swims,0.630294343,1,0.047619048,0.030014016,0.197902559,Co-Headliner
Artemas,0.328930656,2,0.090909091,0.029902787,0.19716878,Co-Headliner
Juice WRLD,0.227776825,3,0.130434783,0.029710021,0.195897102,Co-Headliner
Lola Young,0.324066758,2,0.090909091,0.029460614,0.19425177,Co-Headliner
Dasha,0.319733773,2,0.090909091,0.029066707,0.191653164,Co-Headliner
Jessie Murph,0.221949208,3,0.130434783,0.028949897,0.19088257,Co-Headliner
4batz,0.220486269,3,0.130434783,0.028759079,0.189623744,Co-Headliner
Burl Ives,0.140361917,5,0.2,0.028072383,0.185093621,Co-Headliner
Koe Wetzel,0.212349824,3,0.130434783,0.027697803,0.182622517,Co-Headliner
Justin Bieber,0.211353672,3,0.130434783,0.02756787,0.181765351,Co-Headliner
JENNIE,0.293806184,2,0.090909091,0.026709653,0.176103699,Co-Headliner
Lily-Rose Depp,0.293806184,2,0.090909091,0.026709653,0.176103699,Co-Headliner
Frank Ocean,0.288895805,2,0.090909091,0.026263255,0.173158813,Co-Headliner
JID,0.286440073,2,0.090909091,0.026040007,0.171686045,Co-Headliner
The Kid LAROI,0.28415197,2,0.090909091,0.025831997,0.17031381,Co-Headliner
Daniel Caesar,0.281492744,2,0.090909091,0.025590249,0.168719001,Co-Headliner
TV Girl,0.279114749,2,0.090909091,0.025374068,0.167292854,Co-Headliner
The Neighbourhood,0.275959803,2,0.090909091,0.025087255,0.165400749,Co-Headliner
Flo Milli,0.274225516,2,0.090909091,0.024929592,0.164360651,Co-Headliner
ERNEST,0.271892629,2,0.090909091,0.024717512,0.162961556,Co-Headliner
Lil Baby,0.189319977,3,0.130434783,0.02469391,0.162805857,Co-Headliner
Madonna,0.270662019,2,0.090909091,0.024605638,0.162223527,Co-Headliner
Young Thug,0.187880739,3,0.130434783,0.024506183,0.161567424,Co-Headliner
Mark Ambor,0.268335422,2,0.090909091,0.024394129,0.160828205,Co-Headliner
Wham!,0.266284697,2,0.090909091,0.0242077,0.15959833,Co-Headliner
One Direction,0.264684565,2,0.090909091,0.024062233,0.158638688,Co-Headliner
Bryson Tiller,0.26437226,2,0.090909091,0.024033842,0.158451391,Co-Headliner
d4vd,0.26208971,2,0.090909091,0.023826337,0.157082485,Co-Headliner
Michael Bublé,0.261414248,2,0.090909091,0.023764932,0.156677392,Co-Headliner
Good Neighbours,0.259092568,2,0.090909091,0.02355387,0.155285019,Co-Headliner
Laufey,0.257337071,2,0.090909091,0.023394279,0.154232201,Co-Headliner
Doechii,0.256453637,2,0.090909091,0.023313967,0.153702382,Co-Headliner
Linkin Park,0.256262533,2,0.090909091,0.023296594,0.153587772,Co-Headliner
Arctic Monkeys,0.248685131,2,0.090909091,0.022607739,0.149043402,Co-Headliner
Ice Spice,0.247879125,2,0.090909091,0.022534466,0.148560019,Co-Headliner
Imogen Heap,0.246781332,2,0.090909091,0.022434667,0.147901643,Co-Headliner
Rihanna,0.246369393,2,0.090909091,0.022397218,0.147654592,Co-Headliner
Feid,0.244610818,2,0.090909091,0.022237347,0.146599928,Co-Headliner
Mitchell Ayres & His Orchestra,0.243925966,2,0.090909091,0.022175088,0.146189204,Co-Headliner
Perry Como,0.243925966,2,0.090909091,0.022175088,0.146189204,Co-Headliner
The Fontane Sisters,0.243925966,2,0.090909091,0.022175088,0.146189204,Co-Headliner
Bruce Springsteen,0.240974934,2,0.090909091,0.021906812,0.144419392,Co-Headliner
Vince Guaraldi Trio,0.237570251,2,0.090909091,0.021597296,0.142377512,Co-Headliner
Cynthia Erivo,0.234949208,2,0.090909091,0.021359019,0.140805604,Co-Headliner
Jack Harlow,0.437536104,1,0.047619048,0.020835053,0.137349001,Co-Headliner
Lefty Gunplay,0.228393626,2,0.090909091,0.020763057,0.136874046,Co-Headliner
Chris Stapleton,0.228314512,2,0.090909091,0.020755865,0.136826599,Co-Headliner
NLE Choppa,0.224909072,2,0.090909091,0.020446279,0.134784267,Co-Headliner
Andrew Gold,0.224460422,2,0.090909091,0.020405493,0.134515199,Co-Headliner
Mitski,0.426075826,1,0.047619048,0.020289325,0.133748841,Co-Headliner
Tito Double P,0.222548483,2,0.090909091,0.02023168,0.133368558,Co-Headliner
Djo,0.42106054,1,0.047619048,0.020050502,0.132173326,Co-Headliner
Bas,0.214564314,2,0.090909091,0.019505847,0.12858024,Co-Headliner
Rich The Kid,0.404954665,1,0.047619048,0.019283555,0.127113786,Co-Headliner
BabyTron,0.206556563,2,0.090909091,0.018777869,0.123777779,Co-Headliner
Big Sean,0.206556563,2,0.090909091,0.018777869,0.123777779,Co-Headliner
Lil Wayne,0.391990798,1,0.047619048,0.018666228,0.123041284,Co-Headliner
Michael Jackson,0.195838391,2,0.090909091,0.01780349,0.117349805,Co-Headliner
Cris Mj,0.370815037,1,0.047619048,0.017657859,0.116389077,Co-Headliner
FloyyMenor,0.370815037,1,0.047619048,0.017657859,0.116389077,Co-Headliner
Troye Sivan,0.193647757,2,0.090909091,0.017604342,0.116036024,Co-Headliner
Baby Tate,0.358202375,1,0.047619048,0.017057256,0.112426904,Co-Headliner
Lil Tecca,0.347290152,1,0.047619048,0.016537626,0.108998911,Co-Headliner
Tucker Wetmore,0.177895119,2,0.090909091,0.016172284,0.106588747,Co-Headliner
Eagles,0.176977573,2,0.090909091,0.01608887,0.10603847,Co-Headliner
Dody6,0.176931398,2,0.090909091,0.016084673,0.106010779,Co-Headliner
Rich Amiri,0.33409186,1,0.047619048,0.015909136,0.104852766,Co-Headliner
Willie Nelson,0.171865435,2,0.090909091,0.01562413,0.102972586,Co-Headliner
Michael Marcagi,0.322774035,1,0.047619048,0.015370192,0.101297356,Co-Headliner
Fetty Wap,0.168757256,2,0.090909091,0.015341569,0.101108528,Co-Headliner
Hanumankind,0.320165967,1,0.047619048,0.015245998,0.100478051,Co-Headliner
Kalmi,0.320165967,1,0.047619048,0.015245998,0.100478051,Co-Headliner
Roddy Ricch,0.167384235,2,0.090909091,0.015216749,0.10028509,Co-Headliner
Siete7x,0.167384235,2,0.090909091,0.015216749,0.10028509,Co-Headliner
Wallie the Sensei,0.167384235,2,0.090909091,0.015216749,0.10028509,Co-Headliner
Brenda Lee,0.314058591,1,0.047619048,0.014955171,0.098559465,Co-Headliner
AzChike,0.164352902,2,0.090909091,0.014941173,0.09846712,Co-Headliner
Myles Smith,0.312280652,1,0.047619048,0.014870507,0.098000939,Co-Headliner
Oscar Maydon,0.310927619,1,0.047619048,0.014806077,0.097575893,Co-Headliner
Hitta J3,0.160233509,2,0.090909091,0.014566683,0.09599661,Co-Headliner
Peysoh,0.160233509,2,0.090909091,0.014566683,0.09599661,Co-Headliner
YoungThreat,0.160233509,2,0.090909091,0.014566683,0.09599661,Co-Headliner
YG Marley,0.303975932,1,0.047619048,0.014475044,0.095392073,Co-Headliner
Mariah Carey,0.158973151,2,0.090909091,0.014452105,0.09524074,Co-Headliner
Bobby Helms,0.303006332,1,0.047619048,0.014428873,0.09508748,Co-Headliner
The Marías,0.302435298,1,0.047619048,0.014401681,0.094908094,Co-Headliner
Dean Martin,0.298477902,1,0.047619048,0.014213233,0.093664908,Co-Headliner
Andy Williams,0.295742343,1,0.047619048,0.014082969,0.092805552,Co-Headliner
White Gold,0.154573219,2,0.090909091,0.014052111,0.092601983,Co-Headliner
Tyla,0.293823219,1,0.047619048,0.013991582,0.092202674,Co-Headliner
Marshmello,0.292688918,1,0.047619048,0.013937568,0.091846342,Co-Headliner
Dolly Parton,0.152707784,2,0.090909091,0.013882526,0.091483232,Co-Headliner
Dei V,0.291349604,1,0.047619048,0.013873791,0.091425607,Co-Headliner
Omar Courtz,0.291349604,1,0.047619048,0.013873791,0.091425607,Co-Headliner
Teezo Touchdown,0.29021405,1,0.047619048,0.013819717,0.091068881,Co-Headliner
Calle 24,0.288486619,1,0.047619048,0.013737458,0.090526221,Co-Headliner
Chino Pacas,0.288486619,1,0.047619048,0.013737458,0.090526221,Co-Headliner
Kenya Grace,0.287110026,1,0.047619048,0.013671906,0.090093775,Co-Headliner
Anitta,0.28643398,1,0.047619048,0.013639713,0.0898814,Co-Headliner
Sia,0.284554784,1,0.047619048,0.013550228,0.089291065,Co-Headliner
Donny Hathaway,0.148758575,2,0.090909091,0.013523507,0.089114787,Support
Richy Mitch & The Coal Miners,0.283405393,1,0.047619048,0.013495495,0.088929992,Support
Chuwi,0.282162066,1,0.047619048,0.013436289,0.08853941,Support
